id,paperid,quesno,score,answer,answerHas
752,14,23,0,C,4
753,14,24,0,C,4
754,14,25,0,A,1
755,14,26,0,D,8
756,14,27,0,C,4
757,14,28,0,A,1
758,14,29,0,D,8
759,14,30,0,C,4
760,14,31,0,D,8
761,14,32,0,D,8
762,14,33,0,A,1
763,14,34,0,B,2
764,14,35,0,D,8
765,14,36,0,B,2
766,14,40,0,F,32
767,14,41,0,D,8
768,14,42,0,A,1
769,14,43,0,B,2
770,14,44,0,C,4
771,14,45,0,B,2
772,14,46,0,D,8
773,14,47,0,B,2
774,14,48,0,C,4
775,14,49,0,C,4
776,14,51,0,D,8
777,14,52,0,B,2
778,14,53,0,A,1
779,14,54,0,C,4
780,14,55,0,A,1
781,14,56,0,A,1
782,14,57,0,B,2
783,14,58,0,C,4
784,14,59,0,D,8
785,14,60,0,C,4
786,15,1,0,B,2
787,15,2,0,B,2
788,15,3,0,C,4
789,15,4,0,B,2
790,15,5,0,B,2
791,15,6,0,A,1
792,15,7,0,A,1
793,15,8,0,C,4
794,15,9,0,C,4
795,15,10,0,A,1
796,15,11,0,C,4
797,15,12,0,C,4
798,15,13,0,B,2
799,15,14,0,C,4
800,15,15,0,A,1
801,15,16,0,C,4
802,15,17,0,B,2
803,15,18,0,B,2
804,15,19,0,C,4
805,15,20,0,B,2
806,15,21,0,A,1
807,15,22,0,A,1
808,15,23,0,C,4
809,15,24,0,A,1
810,15,25,0,A,1
811,15,26,0,A,1
812,15,27,0,B,2
813,15,28,0,A,1
814,15,29,0,B,2
815,15,30,0,C,4
816,15,31,0,C,4
817,15,32,0,B,2
818,15,33,0,B,2
819,15,34,0,B,2
820,15,35,0,D,8
821,15,36,0,F,32
822,15,37,0,C,4
823,15,38,0,E,16
824,15,39,0,G,64
825,15,40,0,B,2
826,15,41,0,D,8
827,15,42,0,A,1
828,15,43,0,A,1
829,15,44,0,B,2
830,15,46,0,A,1
831,15,47,0,B,2
832,15,48,0,A,1
833,15,49,0,D,8
834,15,50,0,B,2
835,15,51,0,D,8
836,15,52,0,D,8
837,15,53,0,D,8
838,15,54,0,C,4
839,15,55,0,A,1
840,15,56,0,A,1
841,15,57,0,B,2
842,15,58,0,B,2
843,15,59,0,D,8
844,15,60,0,B,2
845,16,1,0,B,2
